date,time,temperature_2m,temp_f
2026-06-26,2026-06-26T13:45,29.4,84.9
2026-06-26,2026-06-26T13:45,29.4,84.9
2026-06-26,2026-06-26T14:30,29.5,85.1
2026-06-26,2026-06-26T14:30,29.5,85.1
2026-06-26,2026-06-26T14:45,29.5,85.1
2026-06-26,2026-06-26T14:45,29.5,85.1
2026-06-27,2026-06-27T01:00,23.9,75.0
2026-06-27,2026-06-27T01:00,23.9,75.0
2026-06-27,2026-06-27T08:45,22.8,73.0
2026-06-27,2026-06-27T08:45,22.8,73.0
2026-06-27,2026-06-27T13:30,27.8,82.0
2026-06-27,2026-06-27T13:30,27.8,82.0
2026-06-28,2026-06-28T01:30,23.5,74.3
2026-06-28,2026-06-28T09:30,22.7,72.9
2026-06-28,2026-06-28T13:45,29.1,84.4
2026-06-29,2026-06-29T07:00,23.3,73.9
2026-06-29,2026-06-29T14:45,30.6,87.1
2026-06-30,2026-06-30T03:30,24.1,75.4
2026-06-30,2026-06-30T11:15,27.1,80.8
2026-07-01,2026-07-01T03:45,24.1,75.4
2026-07-01,2026-07-01T12:00,27.2,81.0
2026-07-02,2026-07-02T01:30,25.0,77.0
