date,max_temp,min_temp
2021-02-01,25.8,20.2
2021-02-02,25.6,18.7
2021-02-03,22.8,20.3
2021-02-04,22.2,18.9
2021-02-05,22.1,16.6
2021-02-06,24.4,17.8
2021-02-07,24.3,17.8
2021-02-08,25.5,17.8
2021-02-09,23.6,20.3
2021-02-10,25.5,19.1
2021-02-11,27.3,16.5
2021-02-12,27.2,19.3
2021-02-13,27.8,19.5
2021-02-14,27.3,21.3
2022-02-01,27.8,18.3
2022-02-02,28.0,19.9
2022-02-03,27.3,18.0
2022-02-04,25.9,17.8
2022-02-05,26.7,18.9
2022-02-06,27.5,21.0
2022-02-07,28.0,21.5
2022-02-08,28.4,19.1
2022-02-09,26.8,18.0
2022-02-10,25.5,18.1
2022-02-11,27.4,18.2
2022-02-12,27.4,18.9
2022-02-13,25.4,20.3
2022-02-14,25.0,18.2
2023-02-01,26.1,20.5
2023-02-02,27.5,21.1
2023-02-03,26.3,20.5
2023-02-04,25.3,21.0
2023-02-05,28.0,21.4
2023-02-06,28.3,21.8
2023-02-07,28.3,22.3
2023-02-08,27.2,22.2
2023-02-09,27.0,21.3
2023-02-10,27.1,21.6
2023-02-11,27.0,21.5
2023-02-12,26.2,19.3
2023-02-13,26.1,20.9
2023-02-14,25.2,20.9
2024-02-01,24.4,20.5
2024-02-02,23.2,20.2
2024-02-03,22.4,19.7
2024-02-04,24.7,20.2
2024-02-05,25.4,19.9
2024-02-06,25.9,21.2
2024-02-07,26.4,20.6
2024-02-08,27.3,20.5
2024-02-09,26.5,20.4
2024-02-10,25.7,19.1
2024-02-11,25.4,18.5
2024-02-12,24.5,18.1
2024-02-13,25.0,18.8
2024-02-14,25.9,20.8
2025-02-01,23.6,20.5
2025-02-02,24.1,20.1
2025-02-03,24.3,19.1
2025-02-04,23.8,19.6
2025-02-05,24.5,18.4
2025-02-06,25.4,17.4
2025-02-07,27.1,19.0
2025-02-08,27.5,17.4
2025-02-09,26.3,18.7
2025-02-10,27.1,18.6
2025-02-11,26.4,20.2
2025-02-12,26.3,18.2
2025-02-13,25.9,18.6
2025-02-14,26.0,21.6
